Date,s_p_500,interest_rate,vix,ovx,uso,dxy,crude,arabnews_m,cnbc_m,ei_m,ft_m,mees_m,oilprice_m,opec_m,arabnews_b,cnbc_b,ei_b,ft_b,mees_b,oilprice_b
2021-01-04,3700.65,0.09,26.97,42.12,32.38,89.87,47.47,0.4,0.0,0.5,-0.5,0.4,0.4,0.0,0.5198394060134888,0.0,0.8899242877960205,-0.5692406892776489,0.0,0.0
2021-01-05,3726.86,0.09,25.34,40.39,33.94,89.44,49.78,0.4,0.4,0.5,0.5,0.4,0.7,0.4,0.5198394060134888,0.0,0.8899242877960205,-0.5603207349777222,0.0,-0.5263956785202026
2021-01-06,3748.14,0.09,25.07,39.31,34.11,89.53,50.45,0.4,0.4,0.5,-0.5,0.4,0.7,0.4,0.5198394060134888,0.0,0.8899242877960205,-0.6547895073890686,0.0,-0.5263956785202026
2021-01-07,3803.79,0.09,22.37,36.06,34.53,89.83,50.63,0.4,0.7,0.5,0.5,0.4,0.5,0.4,0.5198394060134888,0.8489164710044861,0.8899242877960205,0.6444261074066162,0.0,0.0
2021-01-08,3824.68,0.09,21.56,36.65,35.43,90.1,52.14,0.4,0.7,0.5,0.4,-0.5,0.5,0.4,0.5198394060134888,0.8489164710044861,0.8899242877960205,0.7643269896507263,-0.6264262199401855,0.7116971015930176
2021-01-09,3824.68,0.09,21.56,36.65,35.43,90.1,52.14,0.4,0.7,0.5,0.4,-0.5,0.5,0.4,0.5198394060134888,0.8489164710044861,0.8899242877960205,0.7643269896507263,-0.6264262199401855,0.7116971015930176
2021-01-10,3824.68,0.09,21.56,36.65,35.43,90.1,52.14,0.4,0.0,0.5,0.5,-0.5,0.5,0.4,0.5198394060134888,0.0,0.8899242877960205,0.0,-0.6264262199401855,0.7116971015930176
2021-01-11,3799.61,0.09,24.08,35.31,35.26,90.46,52.15,0.4,0.6,0.5,0.4,-0.5,0.5,0.4,0.5198394060134888,0.7509977221488953,0.8899242877960205,0.0,-0.6264262199401855,0.7116971015930176
2021-01-12,3801.19,0.09,23.33,33.85,35.9,90.09,53.08,0.4,-0.5,0.5,-0.5,-0.5,-0.5,0.4,0.5198394060134888,-0.5300791263580322,0.8899242877960205,-0.6302886605262756,-0.6264262199401855,0.0
2021-01-13,3809.84,0.09,22.21,36.79,35.8,90.36,52.81,0.4,0.5,0.5,-0.3,-0.5,0.6,0.4,0.5198394060134888,0.0,0.8899242877960205,0.5156733393669128,-0.6264262199401855,0.0
2021-01-14,3795.54,0.09,23.25,37.95,36.24,90.24,53.47,0.4,-0.3,0.5,-0.5,-0.5,0.6,0.4,0.5198394060134888,0.0,0.8899242877960205,0.0,-0.6264262199401855,0.0
2021-01-15,3768.25,0.09,24.34,40.39,35.34,90.77,52.25,0.4,-0.3,0.5,-0.5,-0.5,0.6,0.4,0.5198394060134888,-0.5063966512680054,0.8899242877960205,-0.7145299911499023,0.0,0.0
2021-01-16,3768.25,0.09,24.34,40.39,35.34,90.77,52.25,0.1,0.4,0.5,-0.5,-0.5,0.6,0.4,0.0,0.0,0.8899242877960205,-0.7145299911499023,0.0,0.0
2021-01-17,3768.25,0.09,24.34,40.39,35.34,90.77,52.25,0.1,0.5,0.5,-0.5,-0.5,0.6,0.4,0.0,0.0,0.8899242877960205,-0.7145299911499023,0.0,0.0
2021-01-18,3768.25,0.09,24.34,40.39,35.34,90.76,52.25,0.1,0.5,0.5,0.4,-0.5,-0.5,0.4,0.0,0.0,0.8899242877960205,0.0,0.0,-0.5291797518730164
2021-01-19,3798.91,0.09,23.24,35.37,35.75,90.5,52.87,0.1,0.1,0.5,-0.5,-0.5,0.5,0.4,0.0,0.7056997418403625,0.8899242877960205,-0.6056153178215027,0.0,0.5974604487419128
2021-01-20,3851.85,0.09,21.58,35.67,35.79,90.47,53.16,0.1,0.1,0.5,0.4,-0.5,0.4,0.4,0.0,0.7839847803115845,0.8899242877960205,0.0,0.0,0.6930123567581177
2021-01-21,3853.07,0.09,21.32,35.05,35.76,90.13,53.0,0.1,0.1,0.5,0.5,-0.5,0.4,0.4,0.0,-0.7271751761436462,0.8899242877960205,0.8973374962806702,0.0,0.6930123567581177
2021-01-22,3841.47,0.09,21.91,36.25,35.23,90.24,52.28,0.1,-0.3,0.5,-0.5,-0.5,0.4,0.4,0.0,-0.5709795951843262,0.8899242877960205,0.0,0.0,0.6930123567581177
2021-01-23,3841.47,0.09,21.91,36.25,35.23,90.24,52.28,0.1,-0.3,0.5,-0.5,-0.5,0.4,0.4,0.0,-0.5709795951843262,0.8899242877960205,0.0,0.0,0.6930123567581177
2021-01-24,3841.47,0.09,21.91,36.25,35.23,90.24,52.28,0.1,0.5,0.5,0.3,-0.5,0.4,0.4,0.0,0.7222390174865723,0.8899242877960205,-0.8489902019500732,0.0,0.6930123567581177
2021-01-25,3855.36,0.09,23.19,38.02,35.59,90.39,52.78,0.1,-0.5,0.5,-0.3,-0.5,0.2,0.4,0.0,-0.7089930772781372,0.8899242877960205,-0.6226416230201721,0.0,0.0
2021-01-26,3849.62,0.09,23.02,37.13,35.45,90.17,52.61,0.1,0.4,0.5,-0.5,-0.5,0.5,0.4,0.0,0.0,0.8899242877960205,0.0,0.0,0.0
2021-01-27,3750.77,0.09,37.21,40.21,35.5,90.65,52.81,0.1,-0.5,0.5,-0.7,-0.5,0.5,0.4,0.0,-0.5966060161590576,0.8899242877960205,0.0,0.0,0.0
2021-01-28,3787.38,0.09,30.21,40.45,35.25,90.46,52.26,0.1,-0.5,0.0,-0.5,-0.5,0.5,0.4,0.0,-0.7238398194313049,0.0,0.5463024973869324,0.0,0.0
2021-01-29,3714.24,0.09,33.09,40.2,35.18,90.58,52.16,0.1,-0.5,0.0,-0.5,0.4,0.5,0.4,0.0,-0.7238398194313049,0.0,-0.7940058708190918,0.0,0.0
2021-01-30,3714.24,0.09,33.09,40.2,35.18,90.58,52.16,0.1,-0.5,0.0,-0.5,0.4,0.5,0.4,0.0,-0.7238398194313049,0.0,-0.7940058708190918,0.0,0.0
2021-01-31,3714.24,0.09,33.09,40.2,35.18,90.58,52.16,0.1,0.6,0.0,0.7,0.4,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,3773.86,0.08,30.24,39.16,36.12,90.98,53.55,0.1,0.8,0.0,0.1,0.4,0.5,0.4,0.0,0.8575354218482971,0.0,0.0,0.0,0.0
2021-02-02,3826.31,0.08,25.56,38.62,36.82,91.2,54.77,0.1,-0.5,0.0,-0.7,0.4,0.5,0.4,0.0,0.0,0.0,-0.802985668182373,0.0,0.0
2021-02-03,3830.17,0.08,22.91,37.11,37.44,91.17,55.67,0.1,0.6,0.0,-0.5,0.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-04,3871.74,0.08,21.77,35.37,37.81,91.53,56.19,0.1,0.7,0.4,-0.5,0.4,0.5,0.5,0.0,0.8915215730667114,0.0,-0.5864719748497009,0.0,0.0
2021-02-05,3886.83,0.08,20.87,34.94,38.19,91.04,56.8,0.1,0.4,0.4,-0.5,-0.3,0.5,0.5,0.0,0.0,0.0,-0.5864719748497009,-0.6255978941917419,0.5851907134056091
2021-02-06,3886.83,0.08,20.87,34.94,38.19,91.04,56.8,0.1,-0.3,0.4,-0.5,-0.3,0.5,0.5,0.0,0.0,0.0,-0.5864719748497009,-0.6255978941917419,0.5851907134056091
2021-02-07,3886.83,0.08,20.87,34.94,38.19,91.04,56.8,0.1,0.6,0.4,-0.5,-0.3,0.5,0.5,0.0,0.8272508978843689,0.0,-0.746580183506012,-0.6255978941917419,0.5851907134056091
2021-02-08,3915.59,0.08,21.24,34.48,38.94,90.93,57.95,0.1,0.7,0.4,0.6,-0.3,0.5,0.5,0.0,0.0,0.0,0.0,-0.6255978941917419,0.5851907134056091
2021-02-09,3911.23,0.08,21.63,33.54,39.17,90.44,58.34,0.1,0.6,0.4,-0.3,-0.3,0.6,0.5,0.0,0.0,0.0,0.0,-0.6255978941917419,0.0
2021-02-10,3909.88,0.08,21.99,33.77,39.28,90.37,58.69,0.1,-0.5,0.4,-0.5,-0.3,0.6,0.5,0.0,0.0,0.0,-0.5560534000396729,-0.6255978941917419,0.0
2021-02-11,3916.38,0.08,21.25,34.33,38.97,90.42,58.22,0.1,-0.1,0.4,0.4,-0.3,0.6,0.5,0.0,-0.5340288281440735,0.0,-0.4825157523155212,-0.6255978941917419,0.0
2021-02-12,3934.83,0.08,19.97,34.25,39.94,90.48,59.5,0.1,-0.3,0.4,-0.5,0.5,0.6,0.5,0.0,0.0,0.0,-0.6021639704704285,0.0,0.0
2021-02-13,3934.83,0.08,19.97,34.25,39.94,90.48,59.5,0.1,-0.3,0.4,-0.5,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,3934.83,0.08,19.97,34.25,39.94,90.48,59.5,0.1,0.5,0.4,0.0,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,3934.83,0.08,19.97,34.25,39.94,90.48,59.5,0.1,0.6,0.4,-0.5,0.5,0.6,0.5,0.0,0.0,0.0,-0.6743366122245789,0.0,0.0
2021-02-16,3932.59,0.08,21.46,35.13,40.45,90.51,60.07,0.1,0.4,0.4,0.0,0.5,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.6445049047470093
2021-02-17,3931.33,0.08,21.5,36.9,40.89,90.95,61.09,0.1,-0.4,-0.3,-0.7,0.5,0.8,0.0,0.0,-0.7563945651054382,0.0,-0.7279757261276245,0.0,0.609042227268219
2021-02-18,3913.97,0.08,22.49,37.9,40.27,90.59,60.4,0.1,-0.5,-0.3,-0.5,0.5,-0.5,0.0,0.0,-0.5340941548347473,0.0,-0.784980833530426,0.0,-0.7404273748397827
2021-02-19,3906.71,0.08,22.05,37.76,39.68,90.36,59.12,0.1,-0.5,-0.3,-0.7,-0.5,-0.3,0.0,0.0,0.0,0.0,-0.7790547013282776,-0.5558211207389832,0.0
2021-02-20,3906.71,0.08,22.05,37.76,39.68,90.36,59.12,0.4,-0.5,-0.3,-0.5,-0.5,-0.3,0.0,0.0,0.0,0.0,0.0,-0.5558211207389832,0.0
2021-02-21,3906.71,0.08,22.05,37.76,39.68,90.36,59.12,0.4,0.3,-0.3,-0.5,-0.5,-0.3,0.0,0.0,0.0,0.0,0.0,-0.5558211207389832,0.0
2021-02-22,3876.5,0.08,23.45,38.57,41.28,90.01,61.67,0.5,0.4,-0.3,-0.3,-0.5,0.5,0.0,0.0,0.0,0.0,-0.5043932199478149,-0.5558211207389832,0.0
2021-02-23,3881.37,0.08,23.11,39.75,41.62,90.17,61.66,0.5,0.4,-0.3,-0.5,-0.5,0.5,0.0,0.0,0.0,0.0,-0.735367476940155,-0.5558211207389832,0.0
2021-02-24,3925.43,0.08,21.34,39.58,42.5,90.18,63.21,0.5,0.3,-0.3,-0.5,-0.5,0.6,0.0,0.0,0.0,0.0,0.0,-0.5558211207389832,0.0
2021-02-25,3829.34,0.08,28.89,40.58,42.46,90.13,63.43,0.5,0.5,-0.3,-0.3,-0.5,0.7,0.0,0.0,0.0,0.0,-0.534887433052063,-0.5558211207389832,0.0
2021-02-26,3811.15,0.08,27.95,42.49,41.31,90.88,61.55,0.5,-0.3,-0.3,-0.5,0.1,0.5,0.0,0.0,0.0,0.0,-0.7801347970962524,0.0,0.0
2021-02-27,3811.15,0.08,27.95,42.49,41.31,90.88,61.55,0.5,-0.3,-0.3,-0.5,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,3811.15,0.08,27.95,42.49,41.31,90.88,61.55,0.5,-0.3,-0.3,-0.5,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,3901.82,0.07,23.35,42.56,40.6,91.04,60.54,0.5,-0.3,-0.3,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-02,3870.29,0.07,24.1,40.96,40.07,90.79,59.7,0.5,0.4,-0.3,0.0,0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.5334384441375732
