date,text
2021-12-14,"Communique of the African Petroleum Producers’ Organization (APPO)
No --
Algiers, Algeria
14 Dec 2021
Communique of the African Petroleum Producers’ Organization (APPO).
41st Ordinary Session of the Council of Ministers.
Council of Ministers of APPO on 14 December 2021 in Algiers, Algeria.
The Council of Ministers of the African Petroleum Producers’ Organization (APPO) just ended its 41st Ministerial Session with a resolve to continue the exploitation of its Member Countries’ huge oil and gas resources for the economic emancipation of its people while also exploring the use of renewable energies.
The Session which was presided by the President of the Organization, His Excellency Mohamed Arkab, Minister of Mines and Energy of the People’s Democratic Republic of Algeria, was attended by the Ministers and Heads of Delegation of the 14 Member Countries of the Organization, namely Algeria, Angola, Benin, Cameroun, Chad, Congo, Democratic Republic of Congo, Egypt, Equatorial Guinea, Gabon, Libya, Niger, Nigeria and South Africa. Also, in attendance were Ministers of Petroleum and Energies of Senegal, H.E. Aishatou Sophie Gladima, the deputy Minister of Energy of Ghana, His Excellency Mohamed Amin Adam, the Executive Secretary of the Africa Energy Commission of the African Union, Mr. Rashid Ali Abdalla and the Executive Chairman of the Africa Energy Chamber, Mr. NJ Ayuk, among other international energy organizations.
Top on the agenda of the Ministerial discussions was the Future of the Oil and Gas industry in Africa in the light of the Global pursuit of Energy Transition. Ministers acknowledged the reality of climate change and expressed their support for any human efforts aimed at tackling the dangers of climate change. The Session noted that the current approach to energy transition is unilateral imposition where the developed countries that have for over one hundred years used fossil fuels to grow their economies and societies and have all along been aware of the dangers of fossil fuel emissions, are now telling the world that fossil fuels are dangerous to mankind and that all should abandon it.
The Ministers noted that this aggressive drive for Energy Transition is coming at a time that African economies are poised to launch themselves into industrialization, which requires a lot of energy, whereas the economies of the developed countries now require less energy because of their transformation from manufacturing to knowledge production and artificial intelligence. 
The Ministers identified the imminent challenges that the oil and gas industry will face in Africa as international financiers withdraw funding for the industry, and oil and gas research institutions in the developed countries that have always led the technological development are closing their petroleum faculties. On financing energy projects on the Continent, the Council resolved to look within the continent at both public and private sources to raise the necessary capital to continue to finance the oil and gas industry. They agreed that Africa needs to re-strategize as the game is fast changing. Africa shall need to look within for the expertise, technology, finance and markets for its energy resources. The Council noted that the potential exists, as Africa has a huge population of 1.3 billion people. All they need is to be mobilized and empowered to be able to buy energy.
The Council reaffirmed its commitment to the protection of the environment, emphasizing the need to pursue technologies that would allow for the use of fossil fuels with minimum carbon footprints.  Furthermore the Council called on the technologically advance and financially capable countries to lend their support to African countries as they grapple with the challenges of Energy Transition. Council noted the need for intra-African energy infrastructure like cross-border pipelines, products depots and terminals.
The Council welcomed on board five new Ministers, H.E. Bruno Jean-Richard Itoua of Congo, H.E. Budimbu Ntubuanga Didier of DR Congo, H.E. Thomas Camara of Cote d’Ivoire, H.E. Mohamed Oun of the State of Libya and H.E. Mahammane Sani Mahammadou of Niger.
The Council of Ministers unanimously elected H.E. Mr. Diamantino Pedro Azevedo and H.E. Mr. Samou Seidou Adambi, Minister of Petroleum Resources of Angola and Minister of Water and Mines of Benin, respectively, as APPO President and Vice President for the year 2022
Finally, the Council of Ministers approved Mr. Celestin Enanto, Executive Board Member for Benin and Mr. Jean Jacques Koum, Executive Board Member for Cameroon, respectively as Chairman and Vice Chairman of the Executive Board for the year 2022.
The next Ordinary Session of the Ministerial Council will be held in Angola during the last quarter of 2022 at a date to be communicated by the host country.
Adopted in Algiers, 14 December 2021.
The Council of Ministers of APPO"
2021-12-10,"The Declaration of Cooperation of OPEC and non-OPEC oil-producing countries reaches five years
No 37/2021
Vienna, Austria
10 Dec 2021
The Declaration of Cooperation (DoC) between OPEC Member Countries and 10 non-OPEC oil-producing countries turned five today, 10 December 2021.
On this day in 2016, OPEC Member Countries and Azerbaijan, the Kingdom of Bahrain, Brunei Darussalam, Equatorial Guinea (which later joined OPEC), Kazakhstan, Malaysia, Mexico, the Sultanate of Oman, the Russian Federation, the Republic of Sudan and the Republic of South Sudan gathered in Vienna, Austria, at the OPEC Headquarters to embark on a new era of cooperation to support sustainable stability in the global oil market. Other producers attended the meeting in support of these extraordinary efforts.
The birth of the DoC built on the successful ‘Algiers Accord’, signed in Algiers, Algeria, on 28 September 2016 at the 170th (Extraordinary) Meeting of the OPEC Conference and the subsequent ‘Vienna Agreement’, decided on 30 November of the same year in Vienna, Austria, at the 171st Meeting of the OPEC Conference.
OPEC Secretary General, HE Mohammad Sanusi Barkindo, stated: “The Declaration of Cooperation is an unprecedented collaborative framework of leading oil producers that saw the need to come together during a critical juncture in the global oil industry. If it was not for this group of countries and the courageous act that they have undertaken, the oil sector would, without a doubt, be in a different situation.
“Looking back to 2016, very few believed that the collaborative efforts would grow and evolve into a major, robust cooperative force to help restore much needed stability in the global oil market. However, the 23 oil-producing countries have continued to rise to the challenges they have encountered, including instrumenting effective and visionary policies to combat the devastating impact of the COVID-19 pandemic.”
The inaugural OPEC and non-OPEC Ministerial Meeting saw participating countries take several decisions in view of oil market conditions and prospects in the short and medium terms, as well as in recognition of the need for joint cooperation by oil producers to achieve sustainable oil market stability in the interest of producers, consumers, investors and the global economy. It also recalled the rights of peoples and nations to permanent sovereignty over their natural wealth and resources.
Non-OPEC participants adopted a voluntary downward production adjustment, supporting OPEC’s decision of the 171st Meeting of the OPEC Conference. Additionally, three non-OPEC countries joined the high-level ministerial monitoring committee established through the ‘Vienna Agreement’, which is mandated to review the decisions’ successful implementation. The Ministers also highlighted the importance of strengthening cooperation at the technical level.
In response to the severe oil market contraction caused by the COVID-19 pandemic, the DoC’s 23 countries adopted the largest-in-size and longest-in-time voluntary oil production adjustment in the history of OPEC and the oil industry, demonstrating their continued commitment to a stable oil market.
These efforts have supported the global pandemic recovery process, and were recognized at the highest levels of government and by other international organizations and academia."
2021-12-02,"23rd OPEC and non-OPEC Ministerial Meeting
No 36/2021
Vienna, Austria
02 Dec 2021
The 23rd OPEC and non-OPEC Ministerial Meeting (ONOMM), was held via videoconference, on Thursday December 2, 2021. The Meeting remains in session.
The meeting reaffirmed the continued commitment of the Participating Countries in the Declaration of Cooperation (DoC) to ensure a stable and balanced oil market. In view of current oil market fundamentals, the Meeting resolved to:
Reaffirm the decision of the 10th ONOMM on April 12, 2020 and further endorsed in subsequent meetings including the 19th ONOMM on July 18, 2021.
Reconfirm the production adjustment plan and the monthly production adjustment mechanism approved at the 19th ONOMM and the decision to adjust upward the monthly overall production by 0.4 mb/d for the month of January 2022, as per the attached schedule.
Agree that the meeting shall remain in session pending further developments of the pandemic and continue to monitor the market closely and make immediate adjustments if required.
Extend the compensation period until the end of June 2022 as requested by some underperforming countries and request that underperforming countries submit their plans by December 17, 2021. Compensation plans should be submitted in accordance with the statement of the 15th ONOMM.
Reiterate the critical importance of adhering to full conformity and to the compensation mechanism.
Hold the 24th OPEC and non-OPEC Ministerial Meeting on January 4, 2022."
2021-12-01,"Opening address to the 182nd Meeting of the OPEC Conference
No 35/2021
Vienna, Austria
01 Dec 2021
Delivered by HE Dr Diamantino Pedro Azevedo, Angola’s Minister of Mineral Resources and Petroleum and President of the OPEC Conference, at the 182nd Meeting of the OPEC Conference, 1 December 2021, via videoconference.
Your Royal Highness, esteemed colleagues,
It gives me great pleasure to welcome you to the 182nd Meeting of the OPEC Conference.
Let me begin by thanking the OPEC Secretariat for the consistent quality and timeliness of the research, analysis and other services they provide to our Member Countries, and for the outstanding technical support that makes our meetings possible.
We are aware that Austria is experiencing a serious new wave of COVID-19, with lockdown measures in place, and we wish the Secretariat Staff and their families safety and good health during these very challenging times.
The Secretariat has remained operational throughout multiple lockdowns over the past 20 months and has never missed a beat in supporting our Member Countries, and many other important stakeholders, with excellent reports and industry-leading publications.
Esteemed colleagues,
Five years ago, the 171st Meeting of this Conference gave its unanimous support to joining with ten non-OPEC oil-producing countries in the Declaration of Cooperation – one of the boldest experiments in the 150-year history of oil.
The Declaration was the crowning achievement of efforts that began in September 2016 with the ‘Algiers Accord’ to develop a framework for consultations with leading non-OPEC producers.  This visionary decision was followed two months later by the ‘Vienna Agreement’, which in turn paved the way for the signing of the Declaration of Cooperation in Vienna on December 10, 2016.  This series of events marked a new chapter in the history of the oil industry.
Not all of us were present at these meetings.  But all of us here today are witnesses to the astonishing success of this unique framework.  Together, we set in motion two of the industry’s greatest market stabilization efforts, first to address the supply-driven downturn in 2015 and 2016, and then the demand crash at the onset of the COVID-19 pandemic – a downturn with no precedent in modern times.
Over the past 20 months, this trusted and proven relationship has worked without pause to stimulate and accelerate market stability and balance … and to support the global economy through lockdowns, ups and downs, and long periods of uncertainty.
Today, the COVID-19 pandemic remains a persistent foe which continues to spook the markets.  The sudden appearance of a potentially new and more dangerous variant comes on top of new lockdowns in parts of Europe aimed at reversing a dramatic infection surge, especially in unvaccinated populations.
On another front, the planned release of oil from a number of strategic reserves reinforces to the necessity of diligent market monitoring to avoid a return to market imbalance.  And we need to pay close attention to downside risks associated with inflation spikes, rising debt levels and supply-chain disruptions.
In these uncertain times, it is imperative that we – together with the non-OPEC countries in the DoC – remain prudent in our approach and prepared to be proactive as market conditions warrant. 
We need to remain united, focused and ready to adapt to any changing market dynamics, as we have always done in the five-year history of the DoC, to ensure market balance, a sustainable stability, and to support growth and investments in the months and years ahead.
When OPEC reached out to non-OPEC in 2016, we were told it was an exercise in futility.  This was proven wrong, not just once, but time and time again, to the benefit of producers, consumers and the global economy.
The five-year anniversary is one we should all applaud, thanking the OPEC Secretariat, the JTC, the JMMC, all Participating Countries, and each and every individual that has contributed to our success over the past half a decade.
The crucial role we have played in the recovery process is indeed reflected in the Economic Commission Board’s latest assessment, which expects global economic growth of around 5.6% this year and 4.2% in 2022.  Our think-tank sees oil demand growing by around 5.7 mb/d in 2021 and a further 4.2 mb/d in 2022, which puts us on track to exceed levels not seen since early 2020. 
Throughout all our efforts, we have benefited enormously from the leadership of HRH Prince Abdul Aziz Bin Salman as Chair of both the OPEC and non-OPEC Ministerial Meetings and the Joint Ministerial Monitoring Committee.  With Alexander Novak, Deputy Prime Minister of the Russian Federation, as co-Chair, they have kept us moving in the direction of recovery and stability.
Esteemed colleagues,
Today, we have the opportunity to consider the updated OPEC Long-Term Strategy.  This timely document sets OPEC’s priorities and directions to help achieve the visionary aims set out by the Founder Members in 1960.  It is important to remember here that since its founding, our Organization has overcome seven major oil cycles, and has emerged stronger each time.
I want to thank the High-Level Working Group and the OPEC Secretariat for carrying out a bottom-up review of the Strategy.
Thanks to their hard work, the draft Strategy presents a complete picture of the main challenges; scenarios and sensitivity cases; elements and actions; and recommendations on how to achieve our objectives.
The document also reflects the major changes in the five years since the last review was approved by the Conference, especially developments related to energy and climate policies, tougher investment conditions, and technology trends.
Some of the identified challenges have come into sharper focus during the pandemic.  One example is the stimulus funding of around $25 trillion provided by developed countries and financial institutions during the pandemic, including massive sums aimed at incentivizing low-carbon economies.
The discussions leading up to and dominating the UN climate negotiations in Glasgow last month further amplified the challenges and uncertainties facing our industry.
The potential adverse economic impacts on our Member Countries could be very significant.  Yet we remain firmly committed to global cooperation on climate issues, and dedicated to finding inclusive solutions to support post-pandemic social and economic resilience.
With global primary energy demand expected to increase by 28% by 2045, this is no time to create energy pariahs, nor to side-line leading energy-exporting countries like ours.
Our world also has an obligation to help many millions of people in Africa and other developing regions who live in energy poverty.  Complex and interconnected challenges like climate change and energy poverty call for comprehensive and sustainable solutions to ensure an equitable distribution of energy.  No one should be left behind.
I am very pleased by the Long-Term Strategy’s strong focus on collaboration to identify and support inclusive climate and energy policies.  It is of utmost importance that we build on the successes of the Declaration of Cooperation and other collaborative platforms, such as the Charter of Cooperation.
Allow me to also underscore the major contributions of OPEC’s Energy Dialogues with other producing countries, leading consumer nations and key institutions.  These regular forums further contribute to the common goal of sustaining market stability.
Since the last OPEC Conference, high-level and technical meetings have taken place with the Russian Federation and India, both long-time Dialogue partners.  The Gas Exporting Countries Forum is an important newcomer to these forums, and many of our Member Countries are GECF Members or Observers.
In two days, on December 3rd, the fifth OPEC-China Energy Dialogue will take place, providing an important and timely platform for discussion with one of the world’s leading energy-consuming nations.  Furthermore, our extensive cooperation with the International Energy Forum and other key institutions underpin our efforts to share knowledge and expand data access.  All these dialogues and exchanges are appreciated and valued by our bilateral partners.
Before we turn to our busy agenda, I would also like to pay tribute to our esteemed colleague HE Ihsan Abdul Jabbar Ismaael, Iraq’s Minister of Oil, and to his Government for the extraordinary efforts that have gone into planning for a well-deserved celebration of OPEC’s 60th Anniversary.  Though delayed by pandemic-related travel restrictions, we look forward to commemorating the anniversary in the birthplace of our Organization, Baghdad, in the first quarter of 2022.
It is with great sadness that the last surviving delegate at the founding of OPEC on September 14, 1960, Abdullah Ismail, passed away recently.  This distinguished veteran of the oil industry in two Member Countries, Iraq and the United Arab Emirates, will be sorely missed at the celebration.
In closing, it has been an honour for me, and for Angola, to hold the Presidency of the OPEC Conference during this history-making year.
I thank all my esteemed colleagues and the OPEC Secretariat for the outstanding support you have provided.
Thank you, and I look forward to another successful meeting of the OPEC Conference."
2021-11-30,"OPEC marks the 5th anniversary of the landmark ‘Vienna Agreement’
No 34/2021
Vienna, Austria
30 Nov 2021
The Organization of the Petroleum Exporting Countries (OPEC) today marks the 5th anniversary of the historic ‘Vienna Agreement’ reached at the 171st Meeting of the OPEC Conference held on 30 November 2016 in Vienna, Austria.
The milestone meeting built on the successful ‘Algiers Accord’, reached in Algiers, Algeria, on 28 September 2016 at the 170th (Extraordinary) Meeting of the OPEC Conference and paved the way for the historic Declaration of Cooperation (DoC) between OPEC Member Countries and leading non-OPEC oil producing nations to work together in the interest of sustainable oil market stability.
The Conference saw OPEC Member Countries reinforce their joint efforts to overcome a then-unprecedented oil market downturn, reduce inventory overhang, particularly in the OECD region, and revive the necessary investment to support energy security and market stability in the short, medium and long terms.
In recalling the momentous meeting, OPEC Secretary General, HE Mohammad Sanusi Barkindo, stated: “The volatility seen in the oil market in 2016 was unprecedented for many; however, there was a strong consensus that the way forward requires collaboration, leadership and extensive diplomacy – some of the key characteristics that have underpinned the Organization’s work since its founding 61 years ago.
“The ‘Vienna Agreement’ constitutes an historic moment in the history of the oil industry, as well as in international cooperation and multilateralism, as it led to the institutionalization of a global framework that not only helped the oil industry immediately, but also years later when the COVID-19 pandemic broke out in 2020 and caused a severe oil market contraction.”
Five years ago, on the last day of November, OPEC Members called on non-OPEC oil-producing nations to join an initiative to cooperate on a regular basis to support oil market stability, highlighting the key role that non-OPEC producers can play in achieving this all-important objective. They additionally adopted oil production adjustments and established a high-level ministerial monitoring committee to review the implementation of these decisions.
These efforts were carried out to help restore stability in the global oil market for the benefit of all producers, consumers and investors, as well as the global economy. They additionally underpinned the Organization’s views on the importance of multilateralism, international cooperation and dialogue."
2021-11-04,"22nd OPEC and non-OPEC Ministerial Meeting concludes
No 33/2021
Vienna, Austria
04 Nov 2021
The 22nd OPEC and non-OPEC Ministerial Meeting, held via videoconference, concluded on Thursday November 4 2021.
The meeting reaffirmed the continued commitment of the Participating Countries in the Declaration of Cooperation (DoC) to ensure a stable and a balanced oil market, the efficient and secure supply to consumers and to provide clarity to the market at times when other parts of the energy complex outside the boundaries of oil markets are experiencing extreme volatility and instability, and to continue to adopt a proactive and transparent approach which has provided stability to oil markets. In view of current oil market fundamentals and the consensus on its outlook, the Meeting resolved to:
Reaffirm the decision of the 10th OPEC and non-OPEC Ministerial Meeting on 12 April 2020 and further endorsed in subsequent meetings including the 19th OPEC and non-OPEC Ministerial Meeting on the 18 July 2021.
  Reconfirm the production adjustment plan and the monthly production adjustment mechanism approved at the 19th OPEC and non-OPEC Ministerial Meeting and the decision to adjust upward the monthly overall production by 0.4 mb/d for the month of December 2021, as per the attached schedule.
  Reiterate the critical importance of adhering to full conformity and to the compensation mechanism, taking advantage of the extension of the compensation period until the end of December 2021. Compensation plans should be submitted in accordance with the statement of the 15th OPEC and non-OPEC Ministerial Meeting.
  Hold the 23rd OPEC and non-OPEC Ministerial Meeting on 2 December 2021."
2021-10-29,"Fifth High-Level Meeting of the OPEC-India Dialogue
No --
Vienna, Austria
29 Oct 2021
[Joint Conclusion] The 5th High-Level Meeting of the OPEC-India Energy Dialogue was held on 29 October 2021 via videoconference. The Meeting was co-chaired by H.E. Hardeep Singh Puri, India’s Minister of Petroleum and Natural Gas and Minister of Housing and Urban Affairs, and H.E. Mohammad Sanusi Barkindo, Secretary General of OPEC.
The meeting focused on the impact of COVID-19 on global energy markets, and its potential ongoing implications in the coming years; the post-COVID energy recovery in India, highlighting both the opportunities and challenges; the overall energy market outlook in the medium and long terms; oil supply security issues; impact of high energy prices; and the roles of the Declaration of Cooperation (DoC), the Charter of Cooperation (CoC) and the measures being taken to maintain oil market stability.
H.E. Puri began highlighting that the year 2021 marks the fifth Anniversary of the India- OPEC Energy Dialogue. Over the years, cooperation between India and OPEC has intensified across a range of fronts, particularly on the technical level.
H.E. Puri raised the issue of energy market volatility, current high energy prices and in that context underlined the importance of seeking market stability for the benefit of producers and consumers. He also addressed the issue of price differentials between different regions.
The Honourable Minister emphasized India’s commitment to eradicate energy poverty. The core of Indian government policy is to provide equitable access to clean, affordable and sustainable energy to all Indians. He added that India would continue to develop all possible energy sources, while being fully cognizant of the sustainability dimensions of it.
The Honourable Minister noted that OPEC provides 71% of crude oil, 58% of LPG, 33% of LNG and 45% of petroleum products demand of the country.
H.E. Puri shared that India has shown great resilience in its energy system with its petroleum products demand recovered, reaching and surpassing pre-COVID-19 levels. This has been aided by India’s vaccination drive, noting that it is the largest and fastest free vaccination drive in the world and crossed the milestone of 1 billion vaccines in the previous week.
The OPEC Secretary General said that the strategic dialogue with India has many strands to it that underscored the ever-evolving nature of our cooperation. He noted that “last week I had the pleasure to partake in the India Energy Forum by CERA Week, which included a session with His Excellency, the Honourable Prime Minister, Narendra Modi. Our cooperation and dialogue reaches the very highest of levels.”
He also underscored that positive relationship between OPEC and the CEOs and high-level management of major Indian oil companies, the various technical meetings, the OPEC Secretariat hosting a number of interns from India, and this year’s contribution from India of a standalone chapter on the country’s energy outlook in OPEC’s World Oil Outlook 2021. 
H.E. Barkindo also noted that India’s support for the producer-consumer dialogue has greatly contributed to the Organization’s success in pursuing the sustainability of the oil market in recent years, which has been on display during the unprecedented challenges as result of the COVID-19 pandemic.
He stated that OPEC and the DoC countries remain proactive, flexible and vigilant in its goal of a balanced and stable market, and highlighted the importance of the regular monthly meetings. He added: “As always, we remain open, transparent and ready to engage on how we all move forward together.” In this regard, he stated that “there is no substitute to international dialogue and working together as the most effective means of acting in the best interests of consumers, producers and the global economy.”
It was noted that much has already been accomplished within the framework of the dialogue, including exchanges of knowledge and technical meetings, and OPEC looks forward to this continuing and deepening in the future. India was invited to join the Charter of Cooperation as a producer and major oil consumer, to benefit from exchanges on pertinent issues affecting the oil market.
Prior to the High-Level Meeting, experts from OPEC and India held their regular technical meeting to discuss matters of common interest and importance in the energy sphere, along with future potential activities.
The next High-Level Meeting of the OPEC-India Dialogue will be held in 2022 at the OPEC Secretariat in Vienna."
2021-10-27,"Second High-Level Meeting of the OPEC-GECF Energy Dialogue takes place
No --
Vienna, Austria
27 Oct 2021
[Joint Communique] The Organization of the Petroleum Exporting Countries (OPEC) and the Gas Exporting Countries Forum (GECF) held the Second High-Level Meeting of the OPEC-GECF Energy Dialogue, hosted by the GECF, on 27 October 2021, via videoconference.
The Meeting was co-chaired by HE Yury Sentyurin, GECF Secretary General, and HE Mohammad Sanusi Barkindo, OPEC Secretary General. It noted the importance of crude oil and natural gas to the global economy and in meeting current and future energy demand, highlighting that both commodities will account for around half of the total global energy mix in the decades ahead.
“Together, OPEC and GECF can count on their respective competencies to ensure that the global economy heals after the devastation of coronavirus and that a reliable and secure energy supply serves humanity like never before,” said HE Yury Sentryurin in his opening address.
“Notwithstanding the prevalent reductionism and the cancel culture, the GECF, together with stakeholders like OPEC, aspires to present a balanced energy-transition roadmap to the international community for a constructive and informative debate. The GECF-OPEC relationship in fact demonstrates the power of constructive debate to unlock the full potential of the world’s energy system.”
In his remarks, the OPEC Secretary General highlighted the importance of the ongoing dialogue with the GECF, noting that it is crucial for the organizations of two vital energy sources to regularly cooperate and exchange views on pressing issues in the interest of global energy stability and sustainability.
“The bonds that bring our Organizations together run far deeper than the geology that has linked oil and gas since the beginning of time,” OPEC Secretary General stated, adding, “Today, it is of utmost importance that Organizations like OPEC and the GECF continue to work hand-in-hand to ensure that we remain in a strong position to provide secure, stable and sustainable supplies of energy.”
The Secretary Generals shared a statement that oil and gas have an important role to play in the energy transition and support the need to reduce emissions, bolster efficiency and embrace innovation. It is therefore important to be aware of the risks of not adequately investing in the future of the oil and gas industries.
In implementing the Memorandum of Understanding signed on 3 October 2019 in Moscow, the Russian Federation, the two intergovernmental organizations have been increasingly improving the accuracy of dataflow and analysis, strengthening the exchange of information and expertise, which dates back to mutual cooperation on JODI (Joint Organisations Data Initiative).
Both organisations now contribute to each other’s flagship publications — the World Oil Outlook and Global Gas Outlook 2050 — on a reciprocal basis. From 2022 onwards this practise is to be expanded to short- and medium- analysis of the global oil and gas markets’ development.
The Meeting examined the latest figures and estimates from OPEC and GECF’s perspectives, reviewed the outcomes of the key international debates on future of energy and environment, such as the G20 Environment, Climate and Energy Ministerial Meeting, UN High-Level Dialogue on Energy, Middle East Green Initiative Summit, as well as topics related to the upcoming UNFCCC COP26 meeting.
Apart from representing interests in two of the world’s most sought-after fuels, OPEC and GECF share several Member Countries: Algeria, Equatorial Guinea, IR Iran, Libya, Nigeria and Venezuela. OPEC Member Countries Angola, Iraq and the United Arab Emirates are GECF Observers. The discussion acknowledged a possibility of stronger cooperation with some non-OPEC countries participating in the Declaration and Charter of Cooperation that are GECF Members or Observers.
The Secretaries General recalled recent bilateral engagements, including meetings on the sidelines of the inauguration ceremony of HE Ebrahim Raisi, the new President of the Islamic Republic of Iran, in Tehran this August, as well as at the Russian Energy Week in Moscow earlier this month.
The leaders agreed to hold the next High-Level Meeting of the OPEC-GECF Energy Dialogue in 2022 in Vienna, Austria.

Background:
The GECF and OPEC signed a Memorandum of Understanding on 30 October 2019, to “exchange knowledge, experience, views, information, data and practices in the areas of mutual interest.” Areas of cooperation identified in the memorandum include energy market monitoring, analysis, modelling and forecasting; energy market research studies covering the short- medium- and long-term, and their methodologies; energy market data and statistics, data and statistical operational topics (such as methodologies of data gathering, assessment and dissemination); energy initiatives and developments aimed at sustainability, along with environmental and social responsibility; and other areas and matters involving common interests and concerns.
The inaugural OPEC-GECF High-Level Dialogue took place on 4 November 2020 via videoconference."
2021-10-21,"High-level experts meet for 8th Joint IEA-IEF-OPEC Workshop on the Interactions between Physical and Financial Energy Markets
No --
Vienna, Austria
21 Oct 2021
[Joint Press Release] The International Energy Agency (IEA), the International Energy Forum (IEF) and the Organization of the Petroleum Exporting Countries (OPEC) met today via videoconference for the 8th Joint IEA-IEF-OPEC Workshop on the Interactions between Physical and Financial Energy Markets.
The high-level Workshop was co-chaired by OPEC Secretary General, HE Mohammad Sanusi Barkindo, together with Mr. Joseph McMonigle, Secretary General of the IEF, and Keisuke Sadamori, Director of the Office for Energy Markets and Security at the IEA. The Workshop had over 110 participants.
In his opening remarks, HE Barkindo said “It is exactly these types of close collaboration that we will need to see more of in the weeks and months ahead as this industry continues to rise to the challenge of adapting to the paradigm shifts that are currently taking place.”
The Secretary General reminded participants that there was but a little over a week until the highly anticipated United Nations Climate Change Conference (COP26) in Glasgow and that investment would be one of the deciding issues for the industry in the years ahead. He added that “oil and gas will continue to play an important role in world energy supply on the medium to long term” and that “Meeting these rising energy requirements will be dependent on a steady flow of industry investment”, which would also be “essential to advancing innovation and technology that will be instrumental in further improving the environmental footprint and reducing emissions”.
Mr. McMonigle raised concerns with respect to energy investment, noting that global demand is rebounding after the COVID-19 pandemic but private sector investment has yet to respond adequately. This could lead to price fluctuations that will impact market stability, and derail a sustainable and inclusive recovery from the pandemic, he noted. Complex physical and financial energy market dynamics are better understood, better regulated, and more transparent since the three organisations launched the dialogue in response to the Global Financial Crisis more than a decade ago. The discussions of the trilateral work programme today have offered greater insight into market dynamics and will help producers and consumers assess if more concerted action is warranted, he added.
Mr. Sadamori stressed that the world is not investing enough to meet its future energy needs. Transition-related spending has gradually picked-up, but remains far short of what is required to meet rising demand for energy services in a sustainable way. The amount currently spent on oil appears to be geared towards a world of stagnant or falling demand. A surge in spending on clean energy transitions provides the way forward, but this needs to happen quickly or global energy markets are likely to be volatile for years to come.
Sadamori added that “an effective and orderly transition will be critical – not only to reach international climate targets but also to prevent serious supply disruptions and destabilising price volatility along the way”.
Discussions during the videoconference were structured into two sessions, focusing on financial markets, investment and the impact of the drive in ESG on the upstream oil industry.
The first session covered ‘Investment opportunities in the oil industry in light of recent trends in the global economy and financial markets’, which provided an overview of how investors across different asset classes are approaching investing in energy and how that translates into the outlook for oil markets. The second session delved further into the ‘Impact of the accelerated drive towards ESG (Environment, Social, Governance) on investment in E&P activity’.
The Joint Workshop is one part of the trilateral work programme established by the three organizations and endorsed by energy ministers at the 12th International Energy Forum in Cancún, Mexico, in March 2010.  Since then, the joint IEA-IEF-OPEC meetings covering the evolving inter-linkages between physical and financial energy markets have developed into a unique, high-level dialogue event that brings together a diverse range of market participants to discuss issues that are not addressed in other high-level fora. To encourage open and informative discussion, the Workshop was held under Chatham House Rule.
In conclusion, the three organizers thanked all the participants for their committed and forthright discussions on these crucial and timely issues, and looked forward to convening the next Joint Workshop in 2022."
2021-10-14,"Eighth High-Level Meeting of the OPEC-Russian Energy Dialogue held in Moscow
No --
Moscow, Russian Federation
14 Oct 2021
[Joint Press Release] The Eighth High-level Meeting of the OPEC-Russia Energy Dialogue took place in Moscow, the Russian Federation, on 14 October 2021, on the sidelines of the Russian Energy Week.
The meeting was co-chaired by HE Alexander Novak, Deputy Prime Minister of the Russian Federation, and HE Mohammad Sanusi Barkindo, OPEC Secretary General.
The exchange constitutes an important milestone in the energy dialogue, and was the first meeting held in person following the outbreak of the COVID-19 pandemic.
The Deputy Prime Minister welcomed an OPEC delegation in Moscow at the Russian Energy Week International Forum (REW) and underscored the critical importance that the Russian Federation attaches to the relationship with the Secretariat, both under the bilateral Energy Dialogue and the historic Declaration of Cooperation.
“The participation of the OPEC delegation at the highest level underlines the REW's status as an important platform for discussing current trends, including the global oil market. The development of cooperation between Russia and OPEC, and its Secretariat is enshrined in the Energy Strategy of the Russian Federation until 2035 and remains one of the priorities of our foreign energy policy. The Energy Dialogue meetings and the Declaration of Cooperation (DoC) between OPEC and non-OPEC countries has repeatedly proved its effectiveness, serving as a solid basis for our interaction,” he stated.
The OPEC Secretary General thanked the Russian Federation for its gracious invitation to hold the eighth iteration of this important event in Moscow.
“We believe that these dialogue meetings are essential to share our outlooks and perspective, and for further deepening our understanding of each other. They have become a crucial platform for knowledge sharing, stakeholder cooperation and data transparency,” he stated.
The meeting provided a dynamic platform to discuss oil market developments, DoC and Charter of Cooperation (CoC) processes, as well as to exchange insights on the short-, medium- and long-term prospects for the energy sector. It additionally addressed technological cooperation between OPEC Member Countries and the Russian Federation, as well as topics related to the upcoming Conference of the Parties (COP26) meeting.
It underscored the strategic importance of the relationship between OPEC and the Russian Federation on many levels, including through bilateral dialogue, the DoC and the CoC. It was recognized that the energy dialogue continues to be instrumental in enhancing ties between OPEC and the Russian Federation.
The successful outcome of the Fourth Technical Meeting of the OPEC–Russia Energy Dialogue, held on 7 October 2021, was noted. The Dialogue also highlighted ongoing active engagement at the research and technical levels between the parties.
OPEC additionally presented its 2021 edition of the World Oil Outlook, one of the Organization’s flagship publications. In return, the Russian Federation presented the Russian Hydrogen Strategy and Energy Initiative Project.
It was agreed that the next High-level Meeting of the OPEC-Russia Energy Dialogue will be held in 2022 in Vienna, Austria."
